,^NYICDX,TWD=X,JPY=X,CNY=X,CNH=X,2330.TW,2454.TW,2303.TW,2317.TW,2382.TW,3231.TW,2603.TW,2609.TW,2615.TW,9921.TW,9914.TW
2026-03-16,99.70999908447266,32.16310119628906,159.5679931640625,6.896100044250488,6.741720199584961,1845.0,1710.0,60.5,216.5,289.0,135.0,218.5,59.29999923706055,78.9000015258789,74.80000305175781,70.4000015258789
2026-03-17,99.58000183105469,31.94499969482422,159.10499572753906,6.95550012588501,6.741720199584961,1870.0,1730.0,60.70000076293945,212.0,289.0,134.0,218.0,58.5,79.30000305175781,73.5999984741211,69.4000015258789
2026-03-18,100.08999633789062,31.885000228881836,158.88900756835938,6.886300086975098,6.741720199584961,1905.0,1730.0,61.099998474121094,210.0,293.0,130.5,218.0,58.29999923706055,79.9000015258789,71.9000015258789,68.19999694824219
2026-03-19,99.2300033569336,32.03120040893555,159.7949981689453,6.872600078582764,6.741720199584961,1850.0,1680.0,58.70000076293945,205.0,286.5,127.5,217.5,56.5,78.5,70.0999984741211,67.0999984741211
2026-03-20,99.6500015258789,31.802099227905273,157.9239959716797,6.899799823760986,6.741720199584961,1840.0,1700.0,57.79999923706055,203.0,283.5,130.0,214.0,56.099998474121094,79.0,71.0,68.0999984741211
2026-03-23,98.94999694824219,32.02170181274414,159.23399353027344,6.885700225830078,6.741720199584961,1810.0,1625.0,56.70000076293945,196.0,280.0,125.5,204.0,52.79999923706055,74.80000305175781,73.19999694824219,68.5
2026-03-24,99.43000030517578,31.86199951171875,158.47900390625,6.880000114440918,6.741720199584961,1810.0,1620.0,56.5,195.0,281.5,129.0,203.0,52.400001525878906,74.0,71.0,67.9000015258789
2026-03-25,99.5999984741211,31.925800323486328,158.71800231933594,6.8917999267578125,6.741720199584961,1845.0,1620.0,59.099998474121094,200.0,285.0,128.0,206.0,53.70000076293945,75.5,71.0,67.5999984741211
2026-03-26,99.9000015258789,31.93589973449707,159.38400268554688,6.901000022888184,6.741720199584961,1840.0,1590.0,58.20000076293945,200.5,287.0,127.0,203.0,52.599998474121094,74.5,71.4000015258789,67.5
2026-03-27,100.1500015258789,31.93000030517578,159.70399475097656,6.910699844360352,6.741720199584961,1820.0,1585.0,57.79999923706055,199.5,289.0,127.0,201.0,52.400001525878906,75.0999984741211,71.4000015258789,66.0
2026-03-29,100.1500015258789,31.976999282836914,160.23399353027344,6.911600112915039,6.741720199584961,1820.0,1585.0,57.79999923706055,199.5,289.0,127.0,201.0,52.400001525878906,75.0999984741211,71.4000015258789,66.0
2026-03-30,100.51000213623047,32.03900146484375,159.84100341796875,6.911600112915039,6.741720199584961,1780.0,1510.0,57.0,194.0,281.0,125.5,203.5,53.0,78.19999694824219,71.80000305175781,65.69999694824219
2026-03-31,99.95999908447266,31.93790054321289,158.57899475097656,6.894199848175049,6.741720199584961,1760.0,1490.0,56.5,187.5,278.5,122.5,199.5,52.0,77.0999984741211,71.9000015258789,64.9000015258789
2026-04-01,99.6500015258789,32.00199890136719,158.68800354003906,6.870500087738037,6.741720199584961,1855.0,1465.0,57.400001525878906,197.0,290.5,127.0,204.5,52.70000076293945,79.80000305175781,71.5999984741211,65.5
2026-04-02,100.02999877929688,31.938100814819336,159.49099731445312,6.8850998878479,6.741720199584961,1810.0,1465.0,53.599998474121094,193.0,284.5,125.0,202.5,52.099998474121094,78.0,71.0999984741211,64.5999984741211
2026-04-05,100.02999877929688,31.96299934387207,159.77999877929688,6.882400035858154,6.741720199584961,1810.0,1465.0,53.599998474121094,193.0,284.5,125.0,202.5,52.099998474121094,78.0,71.0999984741211,64.5999984741211
2026-04-06,99.9800033569336,31.913999557495117,159.68299865722656,6.882299900054932,6.741720199584961,1810.0,1465.0,53.599998474121094,193.0,284.5,125.0,202.5,52.099998474121094,78.0,71.0999984741211,64.5999984741211
2026-04-07,99.63999938964844,31.893999099731445,158.71600341796875,6.8566999435424805,6.741720199584961,1860.0,1470.0,58.29999923706055,192.0,289.0,123.5,203.0,51.70000076293945,79.4000015258789,69.9000015258789,63.599998474121094
2026-04-08,99.12999725341797,31.720399856567383,158.64199829101562,6.828700065612793,6.741720199584961,1950.0,1580.0,60.29999923706055,201.5,307.5,131.0,202.0,51.70000076293945,78.80000305175781,70.0999984741211,61.900001525878906
2026-04-09,98.81999969482422,31.725799560546875,159.11199951171875,6.831399917602539,6.741720199584961,1955.0,1575.0,60.0,200.0,313.0,132.5,203.0,51.29999923706055,78.30000305175781,67.9000015258789,58.099998474121094
2026-04-10,98.6500015258789,31.725799560546875,159.11199951171875,6.831399917602539,6.741720199584961,2000.0,1575.0,62.0,200.5,321.5,135.0,202.5,51.29999923706055,77.0999984741211,67.30000305175781,59.400001525878906
2026-04-12,98.6500015258789,31.767000198364258,159.67999267578125,6.8277997970581055,6.741720199584961,2000.0,1575.0,62.0,200.5,321.5,135.0,202.5,51.29999923706055,77.0999984741211,67.30000305175781,59.400001525878906
2026-04-13,98.37000274658203,31.641199111938477,159.21400451660156,6.8302998542785645,6.741720199584961,1990.0,1620.0,60.099998474121094,200.0,319.0,134.5,200.0,50.599998474121094,76.5,68.4000015258789,60.79999923706055
2026-04-14,98.12000274658203,31.517000198364258,158.79200744628906,6.815700054168701,6.741720199584961,2055.0,1720.0,59.70000076293945,207.5,323.0,136.5,201.0,50.400001525878906,76.19999694824219,68.80000305175781,60.5
2026-04-15,98.05999755859375,31.586999893188477,158.8090057373047,6.817999839782715,6.741720199584961,2080.0,1790.0,62.099998474121094,207.5,308.5,133.0,203.0,51.5,77.5999984741211,68.4000015258789,60.5
2026-04-16,98.22000122070312,31.558000564575195,159.19500732421875,6.821100234985352,6.741720199584961,2085.0,1895.0,68.30000305175781,207.0,318.5,134.0,201.5,51.0,76.9000015258789,71.4000015258789,62.29999923706055
